s_no, AV_Ratio, HV_Ratio, TL_Occupancy_Time_secs, CAwSD4WI_Occupancy_Time_secs, RN_Occupancy_Time_secs
1,100,0,20.0,20.0,20.0
2,95,5,20.0,20.0,20.0
3,90,10,20.0,20.0,20.0
4,85,15,20.0,20.0,20.0
5,80,20,20.0,20.0,20.0
6,75,25,20.0,20.0,20.0
7,70,30,20.0,20.0,20.0
8,65,35,20.0,20.0,20.0
9,60,40,20.0,20.0,20.0
10,55,45,20.0,20.0,20.0
11,50,50,20.0,20.0,20.0
12,45,55,20.0,20.0,20.0
13,40,60,20.0,20.0,20.0
14,35,65,20.0,20.0,20.0
15,30,70,20.0,20.0,20.0
16,25,75,20.0,20.0,20.0
17,20,80,20.0,20.0,20.0
18,15,85,20.0,20.0,20.0
19,10,90,20.0,20.0,20.0
20,5,95,20.0,20.0,20.0
21,0,100,20.0,20.0,20.0
